name,popularity,price,rating,distance,latitude,longitude,stationId,totalBikes,poiCat
Nicky's Chinese Food,9.44,1.0,71.0,375.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
La Familia Sadc,,,,380.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Cedars Mediterranean Kitchen,9.08,2.0,70.0,398.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Harold's Chicken Shack,9.74,1.0,65.0,408.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Leona's Restaurant,9.1,2.0,58.0,473.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Roux Diner,9.84,2.0,,502.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Insomnia Cookies-Hyde,9.8,,74.0,509.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Pockets,8.74,1.0,74.0,519.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Nella Pizza e Pasta,9.75,1.0,75.0,537.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
Star Gyros,9.59,1.0,,163.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Taco Bell,9.75,1.0,67.0,168.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Dave's Red Hots,9.4,1.0,67.0,180.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Cleanstreet,,,,195.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Green Garden Cafe,,,,241.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Popeyes Louisiana Kitchen,9.89,1.0,56.0,267.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Homan Squar Cafe 2,,,,307.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Chinese Kitchen,9.67,1.0,,373.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Subway,9.21,1.0,70.0,378.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
McDonald's,9.98,1.0,50.0,422.0,41.868114,-87.7109257,1f551b53b9272a39584cf9bb64bcbee9,9.0,restaurant
Sunda,9.86,3.0,90.0,11.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Ema,9.88,4.0,90.0,63.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Boss Bar,9.95,2.0,61.0,96.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Three Dots and a Dash,9.95,3.0,85.0,99.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Tanta,9.85,3.0,89.0,102.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Beatrix,9.86,3.0,90.0,104.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Fadó Irish Pub,9.89,2.0,78.0,109.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Firecakes Donuts,9.93,1.0,92.0,123.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Sushi-san,9.89,2.0,91.0,141.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
The Smith,9.92,2.0,89.0,158.0,41.890762,-87.631697,822500f969ca8b9715e0de42d51ec5c9,27.0,restaurant
Krispy's Chicken & Seafood,,,,213.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
Subway,9.79,1.0,67.0,237.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
"Krispy's Sea Food and Chicken · Great American Foods, Inc.",8.91,1.0,,247.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
Sizzlin Grille Cafe,8.89,1.0,78.0,776.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
Harold's Chicken Coop,9.82,1.0,,792.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
Thomas Restaurant,9.65,1.0,66.0,847.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
Plant Based Junkie,9.37,2.0,,911.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
Grill Eighty Seven,,,,922.0,41.73715146431056,-87.57274031639099,8d34a03333cd153d205a7ff4034f653a,15.0,restaurant
Uncle Remus Chicken & BBQ,2.52,,,57.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Falcon Holdings,,,,129.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
